Energia Roça,,,,,,,,,,
,,,,,,,,,,"14213,27"
Data,Consumo KWh,Valor KWh,KWh Injetado,KWh Pago direto,Valor Cemig,Valor Injetado sem desconto,Valor injetado com desconto,Valor reembolso,Valor sem desc,Valor do desconto real
31/10/2022,3655,"0,7437",864,2791,"2076,15","642,56","449,79","2525,94","2718,71","192,77"
26/11/2022,1450,"0,7420",860,590,"437,78","638,12","446,68","884,46","1075,90","191,44"
29/12/2022,1493,"0,7456",1463,30,"31,31","1090,81","763,57","794,88","1122,12","327,24"
30/01/2023,1457,"0,7486",1427,30,"22,44","1068,25","747,78","770,22","1090,69","320,48"
28/02/2023,2013,"0,7486",1983,30,"25,00","1484,47","1039,13","1064,13","1509,47","445,34"
30/03/2023,647,"0,8339",617,30,"25,00","514,52","360,16","385,16","539,52","154,35"
29/04/2023,1785,"0,8339",1755,30,"25,00","1463,49","1024,45","1049,45","1488,49","439,05"
05/06/2023,1785,"0,8339",1755,30,"25,00","1463,49","1024,45","1049,45","1488,49","439,05"
30/06/2023,154,"0,9050",124,30,"27,14","112,22","78,55","105,69","139,36","33,67"
30/07/2023,1604,"0,9595",1574,30,"28,79","1510,25","1057,18","1085,96","1539,04","453,08"
31/08/2023,1604,"0,9466",1574,30,"28,39","1489,95","1042,96","1071,35","1518,34","446,98"
30/09/2023,645,"0,9560",615,30,"28,67","587,94","411,56","440,23","616,61","176,38"
31/10/2023,1524,"0,9525",1494,30,"28,56","1423,04","996,12","1024,68","1451,60","426,91"
30/11/2023,1346,"0,9527",1316,30,"28,56","1253,75","877,63","906,19","1282,31","376,13"
30/12/2023,977,"0,9521",947,30,"28,56","901,64","631,15","659,71","930,20","270,49"
30/01/2024,1050,"0,9554",1000,50,"47,75","955,40","668,78","716,53","1003,15","286,62"
02/03/2024,1261,"0,9613",1211,50,"48,06","1164,13","814,89","862,95","1212,19","349,24"
30/03/2024,1152,"0,9586",1102,50,"47,92","1056,38","739,46","787,38","1104,30","316,91"
30/04/2024,1240,"0,9555",1190,50,"47,75","1137,05","795,93","843,68","1184,80","341,11"
15/05/2024,1195,"0,9588",1145,50,"47,92","1097,83","768,48","816,40","1145,75","329,35"
18/06/2024,1120,"0,9917",1070,50,"49,57","1061,12","742,78","792,35","1110,69","318,34"
19/07/2024,1226,"1,0298",1176,50,"61,86","1211,04","847,73","909,59","1272,90","363,31"
14/08/2024,1195,"1,0298",1145,50,"30,46","1179,12","825,38","855,84","1209,58","353,74"
19/09/2024,1341,"1,0300",1291,50,"51,64","1329,73","930,81","982,45","1381,37","398,92"
20/10/2024,1223,"1,0800",1173,50,"54,14","1266,84","886,79","940,93","1320,98","380,05"
19/11/2024,1198,"1,0720",1148,50,"53,62","1230,66","861,46","915,08","1284,28","369,20"
20/12/2024,1474,"1,0200",1424,50,"51,00","1452,48","1016,74","1067,74","1503,48","435,74"
21/01/2025,1227,"1,0100",1177,50,"50,54","1188,77","832,14","882,68","1239,31","356,63"
15/02/2025,1241,"1,0220",1191,50,"51,12","1217,20","852,04","903,16","1268,32","365,16"
16/03/2025,1028,"1,0170",978,50,"50,83","994,63","696,24","747,07","1045,46","298,39"
15/04/2025,1229,"1,0080",1179,50,"50,41","1188,43","831,90","882,31","1238,84","356,53"
16/05/2025,1228,"1,0270",1178,50,"51,34","1209,81","846,86","898,20","1261,15","362,94"
16/06/2025,841,"1,0910",791,50,"54,53","862,98","604,09","658,62","917,51","258,89"
19/07/2025,1208,"1,1434",1158,50,"57,16","1324,06","926,84","984,00","1381,22","397,22"
18/08/2025,1206,"1,1798",1156,50,"58,97","1363,85","954,69","1013,66","1422,82","409,15"
17/09/2025,1261,"1,1959",1211,50,"59,77","1448,23","1013,76","1073,53","1508,00","434,47"
18/10/2025,1197,"1,1792",1147,50,"59,77","1352,54","946,78","1006,55","1412,31","405,76"
17/11/2025,1194,"1,1594",1144,50,"57,96","1326,35","928,45","986,41","1384,31","397,91"
16/12/2025,600,"1,1594",550,50,"57,16","637,67","446,37","503,53","694,83","191,30"
16/01/2025,1121,"1,1145",1071,50,"55,70","1193,63","835,54","891,24","1249,33","358,09"
14/02/2026,1112,"1,1258",1062,50,"56,27","1195,60","836,92","893,19","1251,87","358,68"
29/03/2026,0,,,,"46,14",,,,,
16/04/2026,1016,"1,1258",966,50,"56,27","1087,52","761,27","817,54","1143,79","326,26"
